gene	Esophagus...Mucosa	Pancreas	Pituitary	Whole.Blood	Cells...Transformed.fibroblasts	Minor.Salivary.Gland	Lung
ENSG00000188706.8	15.54	11.405	6.47	1.191	47.04	23.38	35.54
ENSG00000266440.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235189.1	0.001	0.001	0.08171	0.001	0.001	0.001	0.001
ENSG00000238040.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000156697.8	11.13	7.5975	6.429	3.686	25.71	8.947	9.775
ENSG00000085185.11	4.309	2.009	7.925	5.11	6.344	5.118	7.42
ENSG00000102034.12	16.36	1.9165	8.122	46.78	28.94	9.017	31.11
ENSG00000156709.9	19.15	11.35	18.9	6.992	27.33	18.68	18.39
ENSG00000134594.4	0.4508	0.1199	3.347	7.766	1.207	0.5406	2.794
ENSG00000056277.11	2.312	1.033	3.456	0.3567	4.683	2.261	2.711
ENSG00000202304.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000225046.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000102078.11	5.132	3.7365	23.66	1.507	6.563	5.481	6.672
ENSG00000147262.2	0.001	0.2587	0.001	0.001	0.001	0.001	0.001
ENSG00000134597.9	11.89	7.24	14.03	5.63	23.01	11.27	14.44
ENSG00000229702.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000221930.5	0.1424	0.02816	0.06484	0.1307	0.2684	0.09659	0.1346
ENSG00000271677.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000165675.12	7.278	2.091	5.688	1.692	11.27	5.93	6.497
ENSG00000238188.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000228659.1	0.001	0.001	1.697	0.001	0.001	0.001	0.001
ENSG00000147256.6	0.02568	0.012405	294.4	0.001	0.001	0.08954	0.01398
ENSG00000241198.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000237650.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000147255.13	0.3172	0.39965	198.8	0.01114	0.0124	0.4583	0.11
ENSG00000185903.9	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000229082.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000242610.1	0.001	0.001	0.1774	0.001	0.001	0.001	0.001
ENSG00000216047.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000234288.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000230973.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000228450.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000171054.6	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000237225.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000232787.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235730.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000227183.3	0.001	0.001	0.001	0.001	0.1537	0.001	0.001
ENSG00000213468.3	0.03811	0.98615	0.1556	0.04917	0.181	0.2368	0.2517
ENSG00000241418.1	0.001	0.36945	0.001	0.001	0.001	0.001	0.001
ENSG00000228089.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235190.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000200587.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000265686.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000134602.11	14.17	2.0725	10.14	11.06	8.249	7.803	9.126
ENSG00000165694.5	0.001	0.001	0.001	0.001	0.03087	0.03483	0.001
ENSG00000228819.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000123728.5	24.33	8.9345	9.538	15.57	26.69	18.45	29.74
ENSG00000232160.2	0.6329	0.86485	1.362	0.2943	1.572	1.583	1.411
ENSG00000076770.10	5.13	1.888	2.734	6.786	1.737	3.286	3.183
ENSG00000206900.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000171004.13	5.427	2.0245	0.5373	0.001	0.02183	0.5746	0.3371
ENSG00000235849.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000227064.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000134588.8	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000225949.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000207100.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000183434.9	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000202199.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
